plan_id,host_mno,plan_name,benefit_category,benefit_name,benefit_service,benefit_tier,benefit_value_won,user_pay_won,is_selectable,select_group,benefit_condition,benefit_detail,source_url
27842,KT,[모요only] [모요핫딜]무제한 100GB+5M(Npay 5000P),추가데이터,추가데이터 20GB 제공,,,,,False,,,,https://www.moyoplan.com/plans/27842
27842,KT,[모요only] [모요핫딜]무제한 100GB+5M(Npay 5000P),사은품/페이백,KT유심&배송비 무료,,,,,False,,,,https://www.moyoplan.com/plans/27842
37109,LGU+,[Npay 12만 기본제공] 17GB+/통화기본,사은품/페이백,네이버페이 매달 5천원 페이백 (24개월),,,120000,,False,,,,https://www.moyoplan.com/plans/37109
37109,LGU+,[Npay 12만 기본제공] 17GB+/통화기본,사은품/페이백,매달 hy 금액권 1만원(12만),,,10000,,False,,,,https://www.moyoplan.com/plans/37109
28127,LGU+,[모요only] 마블링 프라임 11GB+매일2GB+3Mbps,사은품/페이백,일반유심/배송비 무료,,,,,False,,택배일반유심,,https://www.moyoplan.com/plans/28127
37406,LGU+,[모요only] 두해5G 통화기본150GB+ 유심비ZERO(일반),사은품/페이백,유심/배송비 무료!,,,,,False,,,,https://www.moyoplan.com/plans/37406
35207,LGU+,이지 무제한 5GB+1,사은품/페이백,일반유심/배송비 무료,,,,,False,,택배일반유심,대상: 대상 요금제 개통 후 일반유심을 택배로 받을래요 신청 후 개통을 완료한 고객 시기: 조건 달성한 즉시,https://www.moyoplan.com/plans/35207
37124,LGU+,[모요핫딜]5G 음성기본 125GB+5Mbps,사은품/페이백,네이버페이 매달 5천원 페이백 (7개월 간),,,35000,,False,,,,https://www.moyoplan.com/plans/37124
37124,LGU+,[모요핫딜]5G 음성기본 125GB+5Mbps,사은품/페이백,유심/배송비 무료,,,,,False,,,,https://www.moyoplan.com/plans/37124
28102,KT,[모요only] [K] 핀다이렉트Z Max (100GB) _PIN,사은품/페이백,"네이버페이, 마트 상품권 2만원",,,20000,,False,,KT바로유심,,https://www.moyoplan.com/plans/28102
28102,KT,[모요only] [K] 핀다이렉트Z Max (100GB) _PIN,사은품/페이백,데이터 로밍 3일 무료 쿠폰,,,,,False,,,,https://www.moyoplan.com/plans/28102
28102,KT,[모요only] [K] 핀다이렉트Z Max (100GB) _PIN,추가데이터,KT 데이터 결합 (추가데이터 20GB),,,,,False,,,,https://www.moyoplan.com/plans/28102
27680,LGU+,[모요핫딜] 희망더하기 11GB,사은품/페이백,네이버페이 매달 5천원 페이백 (7개월),,,35000,,False,,,,https://www.moyoplan.com/plans/27680
27680,LGU+,[모요핫딜] 희망더하기 11GB,사은품/페이백,"네이버페이 5,000원",,,5000,,False,,,,https://www.moyoplan.com/plans/27680
22864,LGU+,[모요only] 마블링 프라임 100GB+5Mbps,사은품/페이백,일반유심/배송비 무료,,,,,False,,택배일반유심,,https://www.moyoplan.com/plans/22864
27837,KT,[모요only] 고고딜 무제한 7GB+1M(Npay 5000P)_12개월,사은품/페이백,네이버페이 매달 5천원 페이백(12개월),,,60000,,False,,,,https://www.moyoplan.com/plans/27837
27837,KT,[모요only] 고고딜 무제한 7GB+1M(Npay 5000P)_12개월,사은품/페이백,"마트상품권, 네이버페이 최대 2만원",,,20000,,False,,KT바로유심,,https://www.moyoplan.com/plans/27837
27837,KT,[모요only] 고고딜 무제한 7GB+1M(Npay 5000P)_12개월,추가데이터,추가데이터 5GB 제공,,,,,False,,,,https://www.moyoplan.com/plans/27837
27837,KT,[모요only] 고고딜 무제한 7GB+1M(Npay 5000P)_12개월,사은품/페이백,KT유심&배송비 무료,,,,,False,,,,https://www.moyoplan.com/plans/27837
32578,KT,"[모요only] 쉐이크 5G 110GB+_네이버페이 매 월 5,000원",사은품/페이백,네이버페이 매달 5천원 페이백 (평생),,,5000,,False,,,,https://www.moyoplan.com/plans/32578
32578,KT,"[모요only] 쉐이크 5G 110GB+_네이버페이 매 월 5,000원",사은품/페이백,매월 1천원 요금할인 (팝테일 가입·인증),,,1000,,False,,,대상: 이벤트 기간 내 대상요금제 개통 후 팝테일 가입·인증한 고객 시기: 개통 후 영업일 기준 D+2일 이내,https://www.moyoplan.com/plans/32578
32578,KT,"[모요only] 쉐이크 5G 110GB+_네이버페이 매 월 5,000원",사은품/페이백,"마트상품권, 네이버페이 최대 2만원",,,20000,,False,,KT바로유심,"대상: 바로유심/바로배송유심 구매・개통 후 7개월 회선 유지한 고객 시기: 개통 후 4개월차 말일 1만원, 7개월차 말일 1만원",https://www.moyoplan.com/plans/32578
32578,KT,"[모요only] 쉐이크 5G 110GB+_네이버페이 매 월 5,000원",추가데이터,데이터쿠폰 20GB,,,,,False,,,"대상: 대상 요금제 개통 후, 지급시기까지 회선 유지한 고객 시기: 3개월 단위로 총 3회 제공",https://www.moyoplan.com/plans/32578
28450,LGU+,데이터 플러스 7GB(평생+10GB 추가 제공 프로모션),추가데이터,"우리결합시, 데이터 5GB 추가 증정",,,,,False,,,대상: 대상 요금제 개통 후 우리 결합 완료한 고객 시기: 조건 달성한 즉시,https://www.moyoplan.com/plans/28450
32400,LGU+,쿠폰팩 유심 7GB,사은품/페이백,네이버페이 매달 1.6만원 페이백(8개월),,,128000,,False,,,,https://www.moyoplan.com/plans/32400
32400,LGU+,쿠폰팩 유심 7GB,사은품/페이백,갤럭시 자급제 이벤트 신세계상품권 10만원,,,100000,,False,,,,https://www.moyoplan.com/plans/32400
32400,LGU+,쿠폰팩 유심 7GB,사은품/페이백,쿠폰팩 24개월(5천원*24개월),,,5000,,False,,,,https://www.moyoplan.com/plans/32400
32400,LGU+,쿠폰팩 유심 7GB,OTT/구독,구글 AI프로+도미노피자 할인쿠폰,,,,,False,,,대상: 1개월 회선 유지 시기: 조건달성한달 5일,https://www.moyoplan.com/plans/32400
32400,LGU+,쿠폰팩 유심 7GB,추가데이터,"헬로모바일 결합시, 추가 데이터 5GB 증정",,,,,False,,,"대상: 대상 요금제로 결합 완료 시기: 결합일 익일 제공, 익월부터 매월 1일 제공",https://www.moyoplan.com/plans/32400
32400,LGU+,쿠폰팩 유심 7GB,OTT/구독,토스미·오픽미 AI 모의고사,,,,,False,,,대상: 혜택 지급 시점까지 회선 유지 시기: 조건달성한 달 3주차(9월 3주차),https://www.moyoplan.com/plans/32400
10364,LGU+,DATA 걱정없는 유심 일5GB,사은품/페이백,네이버페이 매달 2.5만원 페이백(6개월),,,150000,,False,,,,https://www.moyoplan.com/plans/10364
